w1	w2	count	p_cond
के	लिए	9	0.17307692
ओमप्रकाश	चौटाला	5	0.83333333
,	लेकिन	3	0.13636364
करने	की	3	0.42857143
करोड़	रुपये	3	1.00000000
के	साथ	3	0.05769231
सकता	है	3	1.00000000
साथ	ही	3	0.50000000
है	,	3	0.09677419
हैं	,	3	0.30000000
हैं	और	3	0.30000000
,	जो	2	0.09090909
200	करोड़	2	1.00000000
अनुसार	,	2	1.00000000
उतना	ही	2	1.00000000
ऑफ	बड़ौदा	2	1.00000000
ओर	से	2	0.66666667
और	ओमप्रकाश	2	0.11111111
कंपनी	ने	2	0.50000000
करने	के	2	0.28571429
कहा	कि	2	0.66666667
किया	गया	2	0.28571429
किया	था	2	0.28571429
की	ओर	2	0.05882353
की	बात	2	0.05882353
के	अनुसार	2	0.03846154
के	चलते	2	0.03846154
के	बीच	2	0.03846154
के	सामने	2	0.03846154
को	लेकर	2	0.08695652
गई	थी	2	0.40000000
गया	है	2	0.50000000
चुकी	है	2	1.00000000
चौटाला	को	2	0.40000000
छात्रों	को	2	0.66666667
जलवायु	परिवर्तन	2	1.00000000
जा	रहा	2	0.40000000
जेल	में	2	1.00000000
तब	पार्टी	2	1.00000000
तौर	पर	2	1.00000000
थी	,	2	0.33333333
दिल्ली	-	2	1.00000000
दें	कि	2	1.00000000
देवीलाल	की	2	0.33333333
देवीलाल	ने	2	0.33333333
ने	एक	2	0.08333333
ने	कहा	2	0.08333333
पर	भी	2	0.10526316
पुरस्कार	के	2	1.00000000
पुष्टि	हो	2	1.00000000
प्रदेश	सरकार	2	1.00000000
बता	दें	2	1.00000000
बताया	कि	2	0.50000000
बैंक	ऑफ	2	0.66666667
मजबूत	पकड़	2	1.00000000
में	देवीलाल	2	0.05000000
में	लोगों	2	0.05000000
में	हैं	2	0.05000000
रणजीत	की	2	0.50000000
रहना	होगा	2	1.00000000
रहा	है	2	1.00000000
राजस्थान	में	2	1.00000000
राष्ट्रीय	पुरस्कार	2	1.00000000
लगा	दिए	2	1.00000000
