token	count	p
,	15	0.03512881
आहे	10	0.02341920
आणि	4	0.00936768
आहेत	4	0.00936768
ऊती	4	0.00936768
काही	4	0.00936768
या	4	0.00936768
'	3	0.00702576
-	3	0.00702576
तपासणी	3	0.00702576
ते	3	0.00702576
त्यामुळे	3	0.00702576
नाही	3	0.00702576
यांनी	3	0.00702576
असे	2	0.00468384
आढळले	2	0.00468384
आतापर्यंत	2	0.00468384
उपयोग	2	0.00468384
एखाद्या	2	0.00468384
केली	2	0.00468384
ग्रॅम	2	0.00468384
जाते	2	0.00468384
तसेच	2	0.00468384
तालुक्	2	0.00468384
तिला	2	0.00468384
तो	2	0.00468384
त्वचा	2	0.00468384
दागिने	2	0.00468384
न	2	0.00468384
परिणाम	2	0.00468384
पाहणे	2	0.00468384
प्रयत्न	2	0.00468384
बाजार	2	0.00468384
बोलतात	2	0.00468384
मजबूत	2	0.00468384
मनातलं	2	0.00468384
मुख्यमंत्री	2	0.00468384
म्हणाले	2	0.00468384
यात	2	0.00468384
रविवारी	2	0.00468384
लाख	2	0.00468384
व	2	0.00468384
शिक्षक	2	0.00468384
शिक्षकांची	2	0.00468384
शिक्षकेतर	2	0.00468384
शिरूर	2	0.00468384
संख्या	2	0.00468384
संवर्धन	2	0.00468384
हजार	2	0.00468384
हलकं	2	0.00468384
होती	2	0.00468384
1	1	0.00234192
113	1	0.00234192
5	1	0.00234192
500	1	0.00234192
75	1	0.00234192
88	1	0.00234192
अटक	1	0.00234192
अधिक	1	0.00234192
अध्यक्ष	1	0.00234192
अनिवार्य	1	0.00234192
अनेक	1	0.00234192
अप्रत्यक्षपणे	1	0.00234192
अभिमान	1	0.00234192
असं	1	0.00234192
असंच	1	0.00234192
असणं	1	0.00234192
असतं	1	0.00234192
असतो	1	0.00234192
असल्याचे	1	0.00234192
असा	1	0.00234192
असेही	1	0.00234192
आई	1	0.00234192
आढळलेल्या	1	0.00234192
आता	1	0.00234192
आधीच	1	0.00234192
आमचं	1	0.00234192
आमचा	1	0.00234192
आम्हाला	1	0.00234192
आरोपांवर	1	0.00234192
आली	1	0.00234192
आवश्यक	1	0.00234192
आवश्यकताच	1	0.00234192
इ	1	0.00234192
इंद्रियांचे	1	0.00234192
इतर	1	0.00234192
उत्तर	1	0.00234192
उत्पन्न	1	0.00234192
एकटा	1	0.00234192
एकूण	1	0.00234192
एमपीसी	1	0.00234192
ऐवज	1	0.00234192
औषधांचा	1	0.00234192
करणा	1	0.00234192
करणे	1	0.00234192
करण्याचा	1	0.00234192
करण्यात	1	0.00234192
करत	1	0.00234192
करतात	1	0.00234192
करू	1	0.00234192
करून	1	0.00234192
करोना	1	0.00234192
करोनावर	1	0.00234192
कर्करोग	1	0.00234192
कर्करोगाच्या	1	0.00234192
कर्मचा	1	0.00234192
कर्मचारी	1	0.00234192
कर्मचाऱ्यांना	1	0.00234192
